nr,word1,word2,similarity,relatedness,wu_palmer,leacock_chodorow
1,stary,nowy,0.43,7.29,0.3333333333333333,1.2041199826559248
2,bystry,inteligentny,8.86,9.71,0.75,1.505149978319906
3,ciężki,trudny,4.86,7.29,0.2857142857142857,1.1072099696478683
4,szczęśliwy,radosny,8.14,8.86,0.25,1.0280287236002434
5,łatwy,męczący,0.43,6.43,0.18181818181818182,1.0280287236002434
6,szybki,gwałtowny,3.71,7.0,0.25,1.2041199826559248
7,szczęśliwy,zadowolony,6.29,8.14,0.2857142857142857,1.1072099696478683
8,krótki,długi,0.43,7.43,0.5,1.505149978319906
9,głupi,tępy,7.57,9.14,0.2857142857142857,1.1072099696478683
10,dziwny,niesamowity,4.57,6.14,0.5714285714285714,1.505149978319906
11,szeroki,wąski,0.43,7.43,0.4,1.3290587192642247
12,zły,okropny,6.57,8.29,0.2857142857142857,1.1072099696478683
13,łatwy,uciążliwy,0.14,4.43,0.2,1.1072099696478683
14,zły,straszny,6.29,8.29,0.2857142857142857,1.1072099696478683
15,skomplikowany,prosty,0.14,6.14,0.25,1.0280287236002434
16,bystry,tępy,0.14,6.43,0.2857142857142857,1.1072099696478683
17,obłąkany,zwariowany,7.29,8.29,0.3333333333333333,1.2041199826559248
18,szczęśliwy,wściekły,0.14,5.29,0.2222222222222222,0.9610819339696304
19,wielki,olbrzymi,9.14,9.57,0.5,1.505149978319906
20,twardy,ciężki,1.86,5.57,0.4,1.3290587192642247
21,nowy,świeży,6.43,8.57,0.3333333333333333,1.2041199826559248
22,ostry,tępy,0.43,7.43,0.2857142857142857,1.1072099696478683
23,prędki,gwałtowny,4.29,6.43,0.2222222222222222,1.1072099696478683
24,tępy,głupawy,8.29,8.71,0.4,1.3290587192642247
25,cudowny,wspaniały,9.14,9.86,0.25,1.2041199826559248
26,dziwaczny,osobliwy,8.29,8.71,0.8571428571428571,1.806179973983887
27,szczęśliwy,zły,0.14,5.57,0.2222222222222222,0.9610819339696304
28,wąski,rozległy,0.43,6.86,0.3333333333333333,1.2041199826559248
29,prosty,łatwy,8.86,9.0,0.25,1.0280287236002434
30,stary,świeży,0.14,5.71,0.3333333333333333,1.2041199826559248
31,widoczny,oczywisty,7.0,7.29,0.25,1.0280287236002434
32,niedrogi,tani,8.71,9.43,0.25,1.2041199826559248
33,miły,wielkoduszny,3.0,5.14,0.2,1.0280287236002434
34,dziwny,normalny,0.43,7.43,0.25,1.1072099696478683
35,dziwny,osobliwy,8.71,8.86,1.0,2.0
36,zły,niemoralny,5.86,8.29,0.36363636363636365,0.9610819339696304
37,smutny,zabawny,0.43,5.57,0.5,1.505149978319906
38,wspaniały,świetny,9.14,9.14,0.5,1.2041199826559248
39,winny,zawstydzony,0.57,4.43,0.3333333333333333,1.2041199826559248
40,piękny,wspaniały,6.43,8.14,0.4,1.0280287236002434
41,przeświadczony,pewny,7.29,7.86,0.3333333333333333,1.2041199826559248
42,głupol,tępy,7.43,8.14,0.2222222222222222,0.9610819339696304
43,wielki,duży,8.71,9.0,0.5,1.505149978319906
44,miły,okrutny,0.43,5.86,0.18181818181818182,0.9610819339696304
45,niecierpliwy,niespokojny,4.71,6.57,0.4,1.3290587192642247
46,duży,szeroki,4.86,7.86,0.5,1.505149978319906
47,silny,dumny,0.43,2.71,0.3333333333333333,1.2041199826559248
48,niepotrzebny,potrzebny,0.43,7.43,0.5,1.505149978319906
49,niespokojny,młody,0.43,2.71,0.5,1.505149978319906
50,głupi,inteligentny,0.43,7.29,0.2857142857142857,1.1072099696478683
51,zły,świetny,0.29,5.57,0.2857142857142857,1.1072099696478683
52,trudny,prosty,0.14,6.29,0.2222222222222222,0.9610819339696304
53,potrzebny,ważny,6.86,7.43,0.25,1.2041199826559248
54,zły,niesamowity,0.29,3.86,0.25,1.0280287236002434
55,szalony,zadowolony,0.29,2.71,0.4,1.3290587192642247
56,uczciwy,winny,0.43,3.43,0.3333333333333333,1.2041199826559248
57,łatwy,trudny,0.14,6.86,0.2222222222222222,1.0280287236002434
58,łatwy,elastyczny,1.57,2.29,0.3333333333333333,1.2041199826559248
59,niewątpliwy,pewny,7.43,8.0,0.25,1.0280287236002434
60,istotny,potrzebny,7.43,8.29,0.5,1.505149978319906
61,inny,normalny,0.43,6.29,0.2857142857142857,1.2041199826559248
62,chytry,mądry,2.14,4.57,0.3333333333333333,1.2041199826559248
63,istotny,ważny,9.43,9.57,0.25,1.2041199826559248
64,przykry,okrutny,4.0,5.71,0.36363636363636365,1.0280287236002434
65,dziecinny,głupi,4.86,6.71,0.25,1.0280287236002434
66,unikatowy,rzadki,9.0,9.0,0.3333333333333333,1.2041199826559248
67,przyjacielski,hojny,1.0,5.0,0.2,0.9030899869919435
68,delikatny,nieczuły,0.43,4.57,0.3333333333333333,1.2041199826559248
69,długi,wąski,0.29,5.57,0.4,1.3290587192642247
70,duży,ciężki,0.71,5.43,0.5,1.505149978319906
71,szorstki,chłodny,3.86,5.71,0.2857142857142857,1.1072099696478683
72,dziwaczny,dziwny,9.29,9.29,0.8571428571428571,1.806179973983887
73,nielegalny,niemoralny,0.71,4.0,0.2222222222222222,0.9610819339696304
74,zły,winny,2.0,4.29,0.3333333333333333,1.2041199826559248
75,nowoczesny,starożytny,0.14,6.43,0.4,1.3290587192642247
76,nowy,starożytny,0.14,6.0,0.4,1.3290587192642247
77,nudny,zabawny,0.14,5.86,0.3333333333333333,1.2041199826559248
78,szczęśliwy,młody,0.0,3.43,0.2857142857142857,1.1072099696478683
79,łatwy,duży,0.29,0.29,0.3333333333333333,1.2041199826559248
80,wspaniały,okropny,0.29,5.86,0.25,1.1072099696478683
81,malutki,ogromny,0.14,6.71,0.5,1.505149978319906
82,uprzejmy,odpowiedni,1.0,2.43,0.2222222222222222,1.0280287236002434
83,skromny,zawstydzony,1.86,3.71,0.2857142857142857,1.1072099696478683
84,egzotyczny,rzadki,5.43,7.29,0.4,1.3290587192642247
85,głupi,mądry,0.29,6.71,0.3333333333333333,1.2041199826559248
86,zachwycający,cudowny,9.0,9.71,0.25,1.2041199826559248
87,zauważalny,oczywisty,5.43,7.57,0.2857142857142857,1.3290587192642247
88,przestraszony,zalękniony,8.86,9.14,1.0,2.0
89,formalny,właściwy,1.71,3.29,0.2857142857142857,1.1072099696478683
90,ponury,nudny,0.57,3.14,0.2857142857142857,1.1072099696478683
91,zachwycający,wesoły,0.57,2.57,0.5,1.2041199826559248
92,nieszczęśliwy,szalony,0.43,4.43,0.3333333333333333,1.2041199826559248
93,smutny,straszny,0.43,1.57,0.4,1.3290587192642247
94,chory,zwariowany,2.14,4.43,0.4,1.3290587192642247
95,gwałtowny,gniewny,4.57,6.29,0.2,1.0280287236002434
96,obładowany,ciężki,2.29,5.57,N/A,N/A
97,brudny,tani,0.0,1.43,0.25,1.2041199826559248
98,elastyczny,giętki,9.29,9.29,1.0,2.0
99,twardy,gęsty,0.86,3.86,0.4,1.3290587192642247
100,niedawny,nowy,6.86,8.57,N/A,N/A
101,śmiały,dumny,1.14,4.14,0.6666666666666666,1.3290587192642247
102,dziwny,przebiegły,0.29,2.14,0.2857142857142857,1.1072099696478683
103,dziwny,chytry,1.43,2.0,0.2857142857142857,1.1072099696478683
104,głupi,rzadki,0.0,0.0,0.3333333333333333,1.2041199826559248
105,przebiegły,twardy,0.0,0.14,0.2857142857142857,1.1072099696478683
106,niesamowity,szalony,1.71,3.43,0.2857142857142857,1.3290587192642247
107,skromny,elastyczny,0.0,0.29,0.4,1.3290587192642247
108,świeży,rozległy,0.0,0.0,0.3333333333333333,1.2041199826559248
109,ogromny,głupi,0.0,0.0,0.3333333333333333,1.2041199826559248
110,wielki,elastyczny,0.29,0.57,0.5,1.505149978319906
111,brudny,wąski,0.0,0.86,0.4,1.3290587192642247
112,żona,mąż,2.14,8.43,0.6666666666666666,1.2041199826559248
113,książka,tekst,3.14,7.0,0.8,1.505149978319906
114,narzeczony,narzeczona,2.71,9.57,0.5882352941176471,1.3290587192642247
115,noc,dzień,0.29,7.43,0.3333333333333333,1.2041199826559248
116,południe,północ,0.29,7.43,0.875,1.505149978319906
117,samolot,lotnisko,0.57,8.57,0.375,1.0280287236002434
118,wuj,ciotka,2.43,9.29,0.6153846153846154,1.2041199826559248
119,koń,klacz,4.29,9.14,0.9411764705882353,1.806179973983887
120,dno,wierzch,0.29,7.57,0.2,1.1072099696478683
121,przyjaciel,kumpel,6.71,8.43,0.8,1.3290587192642247
122,student,uczeń,7.57,8.71,0.7272727272727273,1.505149978319906
123,świat,glob,7.14,9.0,0.25,1.0280287236002434
124,noga,ramię,0.29,8.0,0.18181818181818182,0.8519374645445623
125,samolot,odrzutowiec,6.71,9.57,0.9473684210526315,1.806179973983887
126,kobieta,mężczyzna,2.14,8.43,0.8333333333333334,1.505149978319906
127,koń,źrebak,7.57,9.29,0.5714285714285714,1.2041199826559248
128,aktorka,aktor,2.43,9.29,0.8333333333333334,1.505149978319906
129,nauczyciel,instruktor,7.29,9.0,0.8,1.806179973983887
130,film,kino,2.43,9.14,0.42857142857142855,0.9610819339696304
131,ptak,jastrząb,5.0,8.86,0.4444444444444444,1.505149978319906
132,słowo,słownik,0.43,8.29,0.4,0.9030899869919435
133,pieniądze,pensja,5.43,8.86,0.75,1.2041199826559248
134,pies,kot,1.14,7.29,0.875,1.505149978319906
135,obszar,region,9.0,9.43,0.25,1.505149978319906
136,flota,armia,3.71,7.86,0.5,1.2041199826559248
137,książka,literatura,3.14,9.14,0.2857142857142857,1.1072099696478683
138,ubranie,szafa,0.43,8.0,0.16666666666666666,0.9030899869919435
139,zachód,wschód,0.43,7.29,0.25,1.0280287236002434
140,dziecko,dorosły,0.86,7.0,0.7272727272727273,1.3290587192642247
141,krowa,bydło,5.86,9.14,0.11764705882352941,0.7647872888256622
142,książka,opowieść,4.57,7.43,0.6666666666666666,1.1072099696478683
143,zima,lato,0.43,7.29,0.75,1.505149978319906
144,taksówka,taryfa,6.29,8.86,0.18181818181818182,0.8519374645445623
145,drzewo,klon,4.86,8.0,0.13333333333333333,1.1072099696478683
146,łóżko,sypialnia,1.57,7.43,0.15384615384615385,0.9030899869919435
147,dach,sufit,1.71,6.57,0.18181818181818182,1.1072099696478683
148,schorzenie,infekcja,4.86,7.86,0.8,1.505149978319906
149,ramię,bark,3.86,8.43,0.15384615384615385,0.7647872888256622
150,owca,jagnię,7.43,9.14,0.9411764705882353,1.806179973983887
151,dama,dżentelmen,1.57,9.0,0.7272727272727273,1.3290587192642247
152,łódź,kotwica,0.0,8.43,N/A,N/A
153,ksiądz,mnich,4.29,8.14,0.8333333333333334,1.505149978319906
154,paluch,palec,7.71,8.86,0.8571428571428571,1.505149978319906
155,rzeka,strumień,7.57,9.14,0.8888888888888888,1.505149978319906
156,złość,furia,8.14,9.29,0.9473684210526315,1.806179973983887
157,data,kalendarz,0.57,7.86,0.2,0.9610819339696304
158,morze,ocean,4.71,9.0,0.8571428571428571,1.505149978319906
159,sekunda,minuta,2.71,9.14,1.0,2.0
160,dłoń,kciuk,1.43,8.57,0.2,0.9610819339696304
161,drewno,kłoda,5.29,9.0,0.8571428571428571,1.505149978319906
162,błoto,brud,3.57,7.86,0.2222222222222222,0.9610819339696304
163,hol,korytarz,8.71,9.57,0.8888888888888888,1.806179973983887
164,sposób,maniera,6.29,7.14,0.6666666666666666,1.2041199826559248
165,mysz,kot,0.86,7.14,0.5333333333333333,1.2041199826559248
166,gliniarz,szeryf,5.14,8.43,N/A,N/A
167,śmierć,pochówek,0.29,8.57,0.25,1.0280287236002434
168,muzyka,melodia,6.57,8.57,0.8888888888888888,1.806179973983887
169,piwo,alkohol,3.86,8.43,0.9090909090909091,1.806179973983887
170,usta,warga,5.14,8.57,0.75,1.505149978319906
171,burza,huragan,3.14,7.29,0.5714285714285714,1.3290587192642247
172,podatek,dochód,0.14,6.14,0.6,1.2041199826559248
173,kwiat,fiołek,4.57,8.0,0.9333333333333333,1.806179973983887
174,papier,tektura,3.29,7.57,0.9090909090909091,1.806179973983887
175,podłoga,sufit,0.43,6.86,0.8333333333333334,1.505149978319906
176,plaża,wybrzeże,3.71,7.86,0.16666666666666666,1.1072099696478683
177,karnisz,zasłona,0.0,8.0,0.13333333333333333,0.9030899869919435
178,ogar,lis,0.43,5.71,0.7619047619047619,1.1072099696478683
179,ulica,aleja,7.14,8.86,0.9333333333333333,1.806179973983887
180,łódź,pokład,1.14,8.14,0.2,0.9030899869919435
181,samochód,klakson,0.0,7.71,0.14285714285714285,0.9610819339696304
182,przyjaciel,gość,0.71,4.14,0.6153846153846154,1.2041199826559248
183,pracodawca,pracownik,0.0,8.57,0.7272727272727273,1.3290587192642247
184,dłoń,nadgarstek,1.43,8.86,N/A,N/A
185,kula,działo,0.29,8.29,0.7692307692307693,1.3290587192642247
186,alkohol,koniak,5.43,9.43,0.8333333333333334,1.505149978319906
187,zwycięstwo,triumf,9.71,9.71,0.2,0.9610819339696304
188,telefon,budka,0.29,5.71,0.14285714285714285,1.0280287236002434
189,drzwi,wejście,8.14,9.0,0.2,0.9030899869919435
190,motel,zajazd,7.29,8.57,0.8571428571428571,1.505149978319906
191,ubiór,tkanina,2.29,8.0,0.18181818181818182,1.2041199826559248
192,stek,mięso,5.86,8.57,0.7142857142857143,1.2041199826559248
193,paznokieć,kciuk,2.0,7.29,0.2,0.9610819339696304
194,zespół,orkiestra,6.29,7.71,0.5454545454545454,1.1072099696478683
195,książka,Biblia,2.29,6.71,0.25,1.1072099696478683
196,biznes,przemysł,4.86,7.86,0.25,1.0280287236002434
197,zima,sezon,3.71,7.14,0.8571428571428571,1.806179973983887
198,dekada,wiek,0.86,6.71,0.6666666666666666,1.505149978319906
199,alkohol,dżin,5.57,9.43,0.7692307692307693,1.3290587192642247
200,kapelusz,płaszcz,0.43,5.71,0.6,1.2041199826559248
201,okno,drzwi,1.0,7.0,0.18181818181818182,0.9610819339696304
202,ramię,nadgarstek,1.86,8.0,N/A,N/A
203,dom,apartament,5.0,8.14,0.18181818181818182,1.2041199826559248
204,szkło,kryształ,4.0,7.0,N/A,N/A
205,wino,koniak,2.14,8.86,0.7692307692307693,1.3290587192642247
206,twórca,wykonawca,3.71,7.86,0.9090909090909091,1.806179973983887
207,obiad,śniadanie,0.71,8.0,0.8571428571428571,1.505149978319906
208,ramię,mięsień,0.29,6.86,0.2857142857142857,1.2041199826559248
209,bąbelek,mydliny,2.43,6.71,N/A,N/A
210,chleb,mąka,0.71,7.14,0.7692307692307693,1.3290587192642247
211,śmierć,tragedia,2.71,7.29,0.2222222222222222,1.0280287236002434
212,nieobecność,obecność,0.43,7.43,0.2,1.3290587192642247
213,pistolet,działo,2.29,7.0,0.8333333333333334,1.505149978319906
214,trawa,źdźbło,3.43,8.57,0.15384615384615385,1.0280287236002434
215,piłka,kosz,0.0,6.71,0.25,1.0280287236002434
216,szlauch,ogród,0.0,6.71,0.18181818181818182,0.8519374645445623
217,chłopiec,dzieciak,5.14,7.43,0.2857142857142857,1.1072099696478683
218,kościół,chór,0.0,6.43,0.625,1.0280287236002434
219,ubrania,szuflada,0.0,5.71,0.2857142857142857,1.2041199826559248
220,wieża,dzwon,0.0,7.0,0.15384615384615385,1.1072099696478683
221,ojciec,rodzic,7.14,9.43,0.9230769230769231,1.806179973983887
222,szkoła,stopień,0.29,6.14,0.2222222222222222,0.9610819339696304
223,rodzic,dorosły,3.29,7.57,0.7272727272727273,1.3290587192642247
224,krata,więzienie,1.86,8.0,0.18181818181818182,0.8519374645445623
225,samochód,autostrada,0.0,8.14,0.375,0.8519374645445623
226,słownik,definicja,0.43,8.14,0.16666666666666666,0.9030899869919435
227,drzwi,piwnica,0.14,5.14,0.2222222222222222,1.0280287236002434
228,armia,legion,4.14,7.86,0.4444444444444444,1.3290587192642247
229,metal,aluminium,3.71,8.43,0.16666666666666666,0.8519374645445623
230,krzesło,ławka,1.57,8.14,0.875,1.505149978319906
231,obłok,mgła,3.0,6.86,0.25,1.3290587192642247
232,chłopiec,syn,5.29,7.86,0.7272727272727273,1.3290587192642247
233,woda,lód,2.43,8.14,0.2222222222222222,1.0280287236002434
234,łóżko,koc,0.0,6.86,0.6666666666666666,1.1072099696478683
235,adwokat,prawnik,6.0,9.14,0.9230769230769231,1.806179973983887
236,obszar,strefa,8.14,8.86,0.8571428571428571,1.806179973983887
237,biznes,firma,7.71,9.29,1.0,2.0
238,ubranie,materiał,2.0,8.29,0.25,1.0280287236002434
239,sweter,kurtka,1.86,6.57,0.6,1.2041199826559248
240,pieniądze,kapitał,5.43,8.29,0.9090909090909091,1.806179973983887
241,ręka,stopa,0.29,7.14,0.4,1.0280287236002434
242,alkohol,koktajl,2.86,6.57,0.7272727272727273,1.3290587192642247
243,jard,cal,1.57,8.71,0.8571428571428571,1.505149978319906
244,molekuła,atom,6.57,9.0,0.25,1.0280287236002434
245,obiektyw,aparat,1.86,9.14,0.6666666666666666,1.2041199826559248
246,posiłek,obiad,4.71,8.71,0.9230769230769231,1.806179973983887
247,oko,łza,0.14,7.86,0.2,0.9030899869919435
248,bóg,diabeł,0.14,8.14,0.6,1.2041199826559248
249,pętla,pasek,0.29,2.0,0.75,1.505149978319906
250,szczur,mysz,2.71,8.43,0.8571428571428571,1.505149978319906
251,motor,silnik,6.29,8.43,0.14285714285714285,1.0280287236002434
252,samochód,taksówka,4.14,8.14,0.15384615384615385,0.8519374645445623
253,kot,lew,3.29,7.71,0.9411764705882353,1.806179973983887
254,rozmiar,wielkość,7.29,9.71,1.0,2.0
255,rzeczywistość,fantazja,0.14,6.43,0.25,1.1072099696478683
256,drzwi,brama,4.57,8.57,0.2,1.505149978319906
257,kot,zwierzak,4.71,8.71,0.5714285714285714,1.1072099696478683
258,puszka,aluminium,1.29,7.71,0.15384615384615385,0.9030899869919435
259,kość,szczęka,1.57,7.43,0.2857142857142857,1.2041199826559248
260,zboże,pszenica,4.29,8.43,0.9333333333333333,1.806179973983887
261,dom,klucz,0.0,5.71,0.2,1.1072099696478683
262,krew,ciało,0.14,6.57,0.2222222222222222,0.9610819339696304
263,drzwi,korytarz,0.0,5.0,0.2222222222222222,1.0280287236002434
264,bóg,duch,1.86,6.0,0.8,1.505149978319906
265,zdolność,kompetencja,6.29,8.0,0.5454545454545454,1.3290587192642247
266,obfitość,dostatek,7.71,9.0,1.0,2.0
267,kanapa,krzesło,1.43,8.43,0.875,1.505149978319906
268,ściana,cegła,1.0,7.0,0.16666666666666666,1.1072099696478683
269,trąbka,bęben,1.0,8.0,0.625,1.0280287236002434
270,organ,wątroba,3.86,8.43,0.2,0.9030899869919435
271,siła,moc,8.43,9.43,0.5714285714285714,1.3290587192642247
272,fraza,słowo,4.29,8.14,0.6666666666666666,1.2041199826559248
273,zespół,parada,0.0,4.86,0.25,1.0280287236002434
274,żołądek,talia,0.0,2.57,0.2222222222222222,0.9610819339696304
275,chmura,burza,1.29,7.43,0.6666666666666666,1.505149978319906
276,radość,duma,0.71,4.43,0.14285714285714285,0.9030899869919435
277,hałas,grzechot,4.14,7.14,0.6666666666666666,1.3290587192642247
278,deszcz,mgła,1.57,5.57,0.5714285714285714,1.3290587192642247
279,piwo,napój,3.43,8.14,0.8,1.505149978319906
280,mężczyzna,wujek,3.43,7.86,0.7272727272727273,1.3290587192642247
281,jabłko,sok,0.0,5.29,0.18181818181818182,1.1072099696478683
282,inteligencja,logika,3.86,6.57,0.8,1.505149978319906
283,komunikacja,język,2.57,7.57,0.2222222222222222,1.1072099696478683
284,norka,futro,1.71,7.43,0.16666666666666666,0.8519374645445623
285,motłoch,tłum,6.43,8.29,0.46153846153846156,1.3290587192642247
286,brzeg,wybrzeże,7.71,9.14,0.2222222222222222,1.1072099696478683
287,drut,sznur,2.71,3.86,0.16666666666666666,1.1072099696478683
288,ptak,indyk,3.43,8.29,0.1111111111111111,0.8519374645445623
289,łóżko,łóżeczko,8.57,9.71,0.875,1.505149978319906
290,kompetencja,umiejętność,7.29,8.57,0.8571428571428571,1.806179973983887
291,chmura,mgiełka,3.57,6.43,N/A,N/A
292,kolacja,posiłek,4.43,8.86,0.9230769230769231,1.806179973983887
293,pręt,klatka,0.86,6.86,0.7142857142857143,1.2041199826559248
294,woda,sól,0.0,4.43,0.2,0.9030899869919435
295,zmysł,intuicja,6.14,8.14,0.75,1.505149978319906
296,sytuacja,stan,6.14,7.57,0.2857142857142857,1.2041199826559248
297,przestępstwo,kradzież,6.0,8.43,0.9090909090909091,1.806179973983887
298,styl,moda,5.43,8.29,0.2857142857142857,1.1072099696478683
299,rubież,granica,7.57,9.0,0.2222222222222222,1.1072099696478683
300,ramię,ciało,1.14,7.86,0.2,0.9030899869919435
301,łódź,samochód,0.71,6.0,0.6153846153846154,1.1072099696478683
302,kanapka,lunch,1.0,7.14,0.7142857142857143,1.2041199826559248
303,narzeczona,księżniczka,1.0,2.71,0.625,1.0280287236002434
304,bohaterka,bohater,3.14,9.29,N/A,N/A
305,samochód,wskaźnik,0.0,4.57,0.18181818181818182,0.9030899869919435
306,owad,pszczoła,4.71,8.43,0.8235294117647058,1.3290587192642247
307,łóżeczko,kołyska,5.71,8.57,0.8235294117647058,1.3290587192642247
308,zwierzę,człowiek,1.57,4.43,0.34782608695652173,1.3290587192642247
309,marihuana,zioło,7.29,8.86,1.0,2.0
310,łóżko,szpital,0.0,6.43,0.15384615384615385,0.8519374645445623
311,policzek,język,0.43,5.57,0.18181818181818182,0.9030899869919435
312,dysk,komputer,0.14,7.57,0.6666666666666666,1.1072099696478683
313,krzywa,kąt,1.29,5.71,0.2222222222222222,1.1072099696478683
314,trawa,mech,2.0,6.29,0.8,1.3290587192642247
315,szkoła,prawo,0.0,2.57,0.25,1.0280287236002434
316,stopa,głowa,0.29,6.0,0.5,1.2041199826559248
317,matka,opiekunka,5.57,8.0,0.2222222222222222,1.2041199826559248
318,ortodonta,dentysta,3.29,8.86,0.9411764705882353,1.806179973983887
319,alkohol,whisky,3.29,8.57,0.7692307692307693,1.3290587192642247
320,usta,ząb,1.43,7.14,0.6666666666666666,1.2041199826559248
321,śniadanie,bekon,0.29,4.71,0.125,0.9610819339696304
322,łazienka,sypialnia,0.29,6.57,0.6666666666666666,1.3290587192642247
323,talerz,miska,1.71,7.43,0.875,1.505149978319906
324,mięso,bekon,3.14,8.29,0.7142857142857143,1.2041199826559248
325,powietrze,hel,1.43,5.71,0.5454545454545454,1.1072099696478683
326,robotnik,pracodawca,1.0,7.29,0.7272727272727273,1.3290587192642247
327,ciało,pierś,2.29,7.14,0.25,1.0280287236002434
328,syn,ojciec,1.14,8.57,0.6153846153846154,1.1072099696478683
329,serce,operacja,0.0,4.29,0.2857142857142857,1.1072099696478683
330,kobieta,sekretarka,2.14,6.0,0.25,1.1072099696478683
331,mężczyzna,ojciec,2.71,7.57,0.6666666666666666,1.2041199826559248
332,plaża,wyspa,0.57,6.14,0.16666666666666666,0.9610819339696304
333,opowiadanie,temat,0.14,4.86,0.18181818181818182,0.9030899869919435
334,gra,zabawa,7.43,8.71,0.7142857142857143,1.2041199826559248
335,weekend,tydzień,0.71,7.86,0.4,1.3290587192642247
336,para,duet,9.0,9.57,1.0,2.0
337,kobieta,żona,3.14,7.57,0.8333333333333334,1.505149978319906
338,owca,bydło,0.71,4.57,0.11764705882352941,0.7269987279362623
339,torebka,torba,8.43,9.43,0.9333333333333333,1.806179973983887
340,sufit,katedra,0.29,4.14,0.16666666666666666,0.9030899869919435
341,ziarno,kawa,1.14,7.14,0.18181818181818182,0.9610819339696304
342,drewno,papier,0.57,5.57,0.7272727272727273,1.3290587192642247
